TimeStamp,Latitude,Longitude,Altitude,TEC
10/21/2011 0:00:00,33.5403,-91.2524,1,5
10/21/2011 0:00:00,33.6112,-91.1797,1,5
10/21/2011 0:00:00,33.6855,-91.2524,1,5
10/21/2011 0:00:00,33.6946,-91.1261,1,5
10/21/2011 0:00:00,33.7883,-91.1412,1,5
10/21/2011 0:00:00,33.77,-91.0451,1,5
10/21/2011 0:00:00,33.8328,-91.0341,1,5
10/21/2011 0:00:00,33.9399,-91.0863,1,5
10/21/2011 0:00:00,34.0208,-90.9256,1,5
10/21/2011 0:00:00,34.0856,-90.9036,1,5
10/21/2011 0:00:00,34.1345,-90.9586,1,5
10/21/2011 0:00:00,34.1675,-90.9132,1,5
10/21/2011 0:00:00,34.138,-90.8501,1,5
10/21/2011 0:00:00,34.2311,-90.9325,1,5
10/21/2011 0:00:00,34.3446,-90.6935,1,5
10/21/2011 0:00:00,34.4409,-90.5603,1,5
10/21/2011 0:00:00,34.5348,-90.5548,1,5
10/21/2011 0:00:00,34.5959,-90.5768,1,5
10/21/2011 0:00:00,34.7213,-90.5301,1,5
10/21/2011 0:00:00,34.7574,-90.5328,1,5
10/21/2011 0:00:00,34.878,-90.4546,1,5
10/21/2011 0:00:00,34.8454,-90.3529,1,5
10/21/2011 0:00:00,34.869,-90.2911,1,5
10/21/2011 0:00:00,35.0255,-90.3104,1,5
10/21/2011 0:00:00,35.1154,-90.2843,1,5
10/21/2011 0:00:00,35.1323,-90.1772,1,5
10/21/2011 0:00:00,35.1985,-90.1112,1,5
10/21/2011 0:00:00,35.2826,-90.1524,1,5
10/21/2011 0:00:00,35.4383,-90.1332,1,5
10/21/2011 0:00:00,35.5579,-90.0206,1,5
10/21/2011 0:00:00,35.674,-89.978,1,5
10/21/2011 0:00:00,35.7287,-89.9547,1,5
10/21/2011 0:00:00,35.9169,-89.6594,1,5
10/21/2011 0:00:00,35.9658,-89.6883,1,5
10/21/2011 0:00:00,36.0013,-89.713,1,5
10/21/2011 0:00:00,35.9958,-90.3735,1,5
10/21/2011 0:00:00,36.1268,-90.2664,1,5
10/21/2011 0:00:00,36.2875,-90.0934,1,5
10/21/2011 0:00:00,36.3892,-90.0742,1,5
10/21/2011 0:00:00,36.418,-90.1511,1,5
10/21/2011 0:00:00,36.4997,-90.1566,1,5
10/21/2011 0:00:00,36.4986,-94.6198,1,5
10/21/2011 0:00:00,35.3801,-94.4412,1,5
10/21/2011 0:00:00,33.6318,-94.4893,1,5
10/21/2011 0:00:00,33.6421,-94.4522,1,5
10/21/2011 0:00:00,33.5597,-94.4,1,5
10/21/2011 0:00:00,33.5883,-94.2462,1,5
10/21/2011 0:00:00,33.5872,-94.1885,1,5
10/21/2011 0:00:00,33.5345,-94.0375,1,5
10/21/2011 0:00:00,33.4314,-94.043,1,5
10/21/2011 0:00:00,33.0213,-94.043,1,5
10/21/2011 0:00:00,36.9993,-112.5989,1,5
10/21/2011 0:00:00,37.0004,-110.863,1,5
10/21/2011 0:00:00,37.0004,-109.0475,1,5
10/21/2011 0:00:00,31.3325,-109.0503,1,5
10/21/2011 0:00:00,31.3325,-111.0718,1,5
10/21/2011 0:00:00,32.4935,-114.8126,1,5
10/21/2011 0:00:00,32.5184,-114.8099,1,5
10/21/2011 0:00:00,32.5827,-114.8044,1,5
10/21/2011 0:00:00,32.6246,-114.7992,1,5
10/21/2011 0:00:00,32.67,-114.7474,1,5
10/21/2011 0:00:00,32.7457,-114.7014,1,5
