DateTime,DOY,D_TEC,ASY_H,SYM_D,SYM_H,Location
09/04/2002 00:00:00,247,0,37,-2,16,1
09/04/2002 00:01:00,247,0,37,-2,16,1
09/04/2002 00:02:00,247,0,38,-2,16,1
09/04/2002 00:03:00,247,0,38,-2,16,1
09/04/2002 00:04:00,247,0,39,-2,16,1
09/04/2002 00:05:00,247,0,38,-3,17,1
09/04/2002 00:06:00,247,0,38,-2,17,1
09/04/2002 00:07:00,247,0,39,-2,17,1
09/04/2002 00:08:00,247,0,38,-2,17,1
09/04/2002 00:09:00,247,0,40,-2,17,1
09/04/2002 00:10:00,247,0,40,-2,17,1
09/04/2002 00:11:00,247,0,42,-2,16,1
09/04/2002 00:12:00,247,0,41,-2,17,1
09/04/2002 00:13:00,247,0,40,-2,17,1
09/04/2002 00:14:00,247,0,40,-2,18,1
09/04/2002 00:15:00,247,0,41,-2,17,1
09/04/2002 00:16:00,247,0,42,-2,17,1
09/04/2002 00:17:00,247,0,42,-2,17,1
09/04/2002 00:18:00,247,0,42,-1,17,1
09/04/2002 00:19:00,247,0,42,-1,17,1
09/04/2002 00:20:00,247,0,42,-1,16,1
09/04/2002 00:21:00,247,0,44,-1,16,1
09/04/2002 00:22:00,247,0,43,-1,15,1
09/04/2002 00:23:00,247,0,43,-1,15,1
09/04/2002 00:24:00,247,0,43,-1,16,1
09/04/2002 00:25:00,247,0,44,-1,15,1
09/04/2002 00:26:00,247,0,43,-1,15,1
09/04/2002 00:27:00,247,0,43,-1,16,1
09/04/2002 00:28:00,247,0,42,-1,15,1
09/04/2002 00:29:00,247,0,42,-1,15,1
09/04/2002 00:30:00,247,0,42,0,15,1
09/04/2002 00:31:00,247,0,43,-1,15,1
09/04/2002 00:32:00,247,0,43,-1,15,1
09/04/2002 00:33:00,247,0,44,-1,15,1
09/04/2002 00:34:00,247,0,43,-1,15,1
09/04/2002 00:35:00,247,0,44,-1,15,1
09/04/2002 00:36:00,247,0,44,-1,15,1
09/04/2002 00:37:00,247,0,44,-1,14,1
09/04/2002 00:38:00,247,0,45,-1,15,1
09/04/2002 00:39:00,247,0,46,-1,14,1
09/04/2002 00:40:00,247,0,45,-1,15,1
09/04/2002 00:41:00,247,0,45,0,14,1
09/04/2002 00:42:00,247,0,45,-1,14,1
09/04/2002 00:43:00,247,0,44,0,15,1
09/04/2002 00:44:00,247,0,44,0,15,1
09/04/2002 00:45:00,247,0,43,0,14,1
09/04/2002 00:46:00,247,0,43,0,14,1
09/04/2002 00:47:00,247,0,43,0,14,1
09/04/2002 00:48:00,247,0,43,0,14,1
09/04/2002 00:49:00,247,0,42,0,14,1
09/04/2002 00:50:00,247,0,42,0,14,1
09/04/2002 00:51:00,247,0,41,0,14,1
09/04/2002 00:52:00,247,0,41,0,14,1
09/04/2002 00:53:00,247,0,39,1,14,1
09/04/2002 00:54:00,247,0,40,1,14,1
09/04/2002 00:55:00,247,0,38,1,15,1
09/04/2002 00:56:00,247,0,39,1,15,1
09/04/2002 00:57:00,247,0,37,1,15,1
09/04/2002 00:58:00,247,0,37,1,15,1
09/04/2002 00:59:00,247,0,38,1,15,1
09/04/2002 01:00:00,247,0,38,1,16,1
09/04/2002 01:01:00,247,0,38,0,16,1
09/04/2002 01:02:00,247,0,37,1,16,1
09/04/2002 01:03:00,247,0,35,1,16,1
09/04/2002 01:04:00,247,0,35,1,16,1
09/04/2002 01:05:00,247,0,35,0,16,1
09/04/2002 01:06:00,247,0,34,0,15,1
09/04/2002 01:07:00,247,0,36,-1,15,1
09/04/2002 01:08:00,247,0,36,-1,15,1
09/04/2002 01:09:00,247,0,35,-1,15,1
09/04/2002 01:10:00,247,0,36,-1,15,1
09/04/2002 01:11:00,247,0,35,-2,15,1
09/04/2002 01:12:00,247,0,36,-2,16,1
09/04/2002 01:13:00,247,0,36,-2,16,1
09/04/2002 01:14:00,247,0,37,-2,16,1
09/04/2002 01:15:00,247,0,39,-2,16,1
09/04/2002 01:16:00,247,0,39,-2,16,1
