DateTime,DOY,D_TEC,ASY_H,SYM_D,SYM_H,Location
02/12/2000 00:00:00,43,0,75,-9,0,1
02/12/2000 00:01:00,43,0,76,-9,-1,1
02/12/2000 00:02:00,43,8.853679516,76,-10,-2,1
02/12/2000 00:03:00,43,9.339411061,78,-10,-2,1
02/12/2000 00:04:00,43,9.825142606,79,-11,-5,1
02/12/2000 00:05:00,43,10.31087415,73,-12,-6,1
02/12/2000 00:06:00,43,10.7966057,67,-13,-7,1
02/12/2000 00:07:00,43,11.28233724,66,-13,-7,1
02/12/2000 00:08:00,43,11.28255019,67,-14,-8,1
02/12/2000 00:09:00,43,11.28276314,70,-14,-9,1
02/12/2000 00:10:00,43,11.28297609,74,-15,-11,1
02/12/2000 00:11:00,43,11.28318904,76,-15,-14,1
02/12/2000 00:12:00,43,11.28340199,80,-16,-16,1
02/12/2000 00:13:00,43,11.43097377,81,-16,-18,1
02/12/2000 00:14:00,43,11.57854555,83,-16,-18,1
02/12/2000 00:15:00,43,11.72611734,84,-15,-19,1
02/12/2000 00:16:00,43,11.87368912,84,-15,-20,1
02/12/2000 00:17:00,43,12.0212609,84,-15,-21,1
02/12/2000 00:18:00,43,12.21931334,83,-15,-22,1
02/12/2000 00:19:00,43,12.41736578,84,-15,-23,1
02/12/2000 00:20:00,43,12.61541822,84,-15,-23,1
02/12/2000 00:21:00,43,12.81347066,83,-14,-24,1
02/12/2000 00:22:00,43,13.0115231,78,-14,-25,1
02/12/2000 00:23:00,43,13.07715715,77,-14,-27,1
02/12/2000 00:24:00,43,13.1427912,77,-14,-27,1
02/12/2000 00:25:00,43,13.20842525,79,-14,-27,1
02/12/2000 00:26:00,43,13.2740593,79,-14,-27,1
02/12/2000 00:27:00,43,13.33969336,80,-14,-27,1
02/12/2000 00:28:00,43,13.36215636,81,-14,-27,1
02/12/2000 00:29:00,43,13.38461936,80,-14,-26,1
02/12/2000 00:30:00,43,13.40708237,82,-13,-26,1
02/12/2000 00:31:00,43,13.42954537,88,-14,-25,1
02/12/2000 00:32:00,43,13.45200837,91,-14,-24,1
02/12/2000 00:33:00,43,13.45214516,93,-13,-23,1
02/12/2000 00:34:00,43,13.45228195,94,-14,-24,1
02/12/2000 00:35:00,43,13.45241874,95,-14,-24,1
02/12/2000 00:36:00,43,13.45255554,96,-14,-25,1
02/12/2000 00:37:00,43,13.45269233,99,-14,-25,1
02/12/2000 00:38:00,43,13.44435206,99,-13,-25,1
02/12/2000 00:39:00,43,13.43601179,100,-13,-26,1
02/12/2000 00:40:00,43,13.42767153,101,-12,-27,1
02/12/2000 00:41:00,43,13.41933126,102,-12,-27,1
02/12/2000 00:42:00,43,13.410991,103,-11,-27,1
02/12/2000 00:43:00,43,13.32792277,105,-10,-29,1
02/12/2000 00:44:00,43,13.24485455,103,-10,-29,1
02/12/2000 00:45:00,43,13.16178633,103,-9,-31,1
02/12/2000 00:46:00,43,13.07871811,102,-9,-32,1
02/12/2000 00:47:00,43,12.99564988,100,-9,-34,1
02/12/2000 00:48:00,43,12.82035291,100,-9,-37,1
02/12/2000 00:49:00,43,12.64505594,97,-8,-37,1
02/12/2000 00:50:00,43,12.46975897,98,-8,-39,1
02/12/2000 00:51:00,43,12.294462,96,-9,-41,1
