DateTime,DOY,D_TEC,ASY_H,SYM_D,SYM_H,Location
3/9/2012 0:00,69,0,40,-3,-24,1
3/9/2012 0:01,69,0,41,-3,-23,1
3/9/2012 0:02,69,0,41,-3,-21,1
3/9/2012 0:03,69,0,42,-3,-20,1
3/9/2012 0:04,69,0,44,-2,-19,1
3/9/2012 0:05,69,0,44,-2,-19,1
3/9/2012 0:06,69,0,43,-2,-19,1
3/9/2012 0:07,69,0,43,-2,-19,1
3/9/2012 0:08,69,0,41,-3,-21,1
3/9/2012 0:09,69,0,41,-3,-22,1
3/9/2012 0:10,69,0,41,-3,-23,1
3/9/2012 0:11,69,0,40,-3,-24,1
3/9/2012 0:12,69,0,40,-3,-24,1
3/9/2012 0:13,69,0,40,-3,-25,1
3/9/2012 0:14,69,0,40,-3,-27,1
3/9/2012 0:15,69,0,40,-4,-27,1
3/9/2012 0:16,69,0,38,-4,-28,1
3/9/2012 0:17,69,0,37,-4,-28,1
3/9/2012 0:18,69,0,37,-4,-29,1
3/9/2012 0:19,69,0,36,-5,-29,1
3/9/2012 0:20,69,0,35,-5,-30,1
3/9/2012 0:21,69,0,37,-4,-30,1
3/9/2012 0:22,69,0,38,-4,-30,1
3/9/2012 0:23,69,0,38,-4,-30,1
3/9/2012 0:24,69,0,37,-4,-30,1
3/9/2012 0:25,69,0,36,-4,-30,1
3/9/2012 0:26,69,0,37,-4,-29,1
3/9/2012 0:27,69,0,37,-4,-29,1
3/9/2012 0:28,69,0,37,-5,-29,1
3/9/2012 0:29,69,0,38,-4,-29,1
3/9/2012 0:30,69,0,39,-4,-29,1
3/9/2012 0:31,69,0,37,-5,-28,1
3/9/2012 0:32,69,0,38,-5,-28,1
3/9/2012 0:33,69,0,38,-5,-28,1
3/9/2012 0:34,69,0,39,-5,-28,1
3/9/2012 0:35,69,0,39,-5,-28,1
3/9/2012 0:36,69,0,38,-5,-27,1
3/9/2012 0:37,69,0,38,-4,-27,1
3/9/2012 0:38,69,0,38,-4,-27,1
3/9/2012 0:39,69,0,39,-4,-27,1
3/9/2012 0:40,69,0,40,-4,-27,1
3/9/2012 0:41,69,0,41,-4,-26,1
3/9/2012 0:42,69,0,41,-4,-26,1
3/9/2012 0:43,69,0,42,-4,-26,1
3/9/2012 0:44,69,0,42,-4,-26,1
3/9/2012 0:45,69,0,41,-4,-25,1
3/9/2012 0:46,69,0,40,-4,-25,1
3/9/2012 0:47,69,0,41,-4,-25,1
3/9/2012 0:48,69,0,40,-4,-25,1
3/9/2012 0:49,69,0,39,-4,-25,1
3/9/2012 0:50,69,0,40,-4,-25,1
3/9/2012 0:51,69,0,40,-4,-25,1
3/9/2012 0:52,69,0,40,-4,-24,1
3/9/2012 0:53,69,0,40,-4,-24,1
3/9/2012 0:54,69,0,39,-4,-24,1
3/9/2012 0:55,69,0,42,-4,-24,1
3/9/2012 0:56,69,0,43,-4,-24,1
3/9/2012 0:57,69,0,41,-4,-24,1
3/9/2012 0:58,69,0,42,-4,-23,1
3/9/2012 0:59,69,0,42,-4,-24,1
3/9/2012 1:00,69,0,41,-4,-24,1
3/9/2012 1:01,69,0,40,-4,-23,1
3/9/2012 1:02,69,0,40,-4,-23,1
3/9/2012 1:03,69,0,38,-4,-22,1
3/9/2012 1:04,69,0,39,-5,-20,1
3/9/2012 1:05,69,0,39,-4,-18,1
3/9/2012 1:06,69,0,38,-5,-14,1
3/9/2012 1:07,69,0,41,-5,-7,1
3/9/2012 1:08,69,0,51,-4,-1,1
3/9/2012 1:09,69,0,61,-3,4,1
3/9/2012 1:10,69,0,62,-2,4,1
3/9/2012 1:11,69,0,49,-1,1,1
3/9/2012 1:12,69,0,45,-2,1,1
3/9/2012 1:13,69,0,39,-3,3,1
3/9/2012 1:14,69,0,33,-3,1,1
3/9/2012 1:15,69,0,31,-2,0,1
3/9/2012 1:16,69,0,30,-2,-1,1
3/9/2012 1:17,69,0.833618065,26,-2,-2,1
3/9/2012 1:18,69,0.818121055,25,-1,-2,1
3/9/2012 1:19,69,0.802624046,24,-1,-2,1
3/9/2012 1:20,69,0.787127036,22,-1,-2,1
3/9/2012 1:21,69,0.771630026,19,-1,-3,1
3/9/2012 1:22,69,0.756133016,18,-2,-4,1
3/9/2012 1:23,69,0.741321696,18,-2,-4,1
3/9/2012 1:24,69,0.726510377,17,-2,-3,1
3/9/2012 1:25,69,0.711699057,18,-2,-2,1
3/9/2012 1:26,69,0.696887737,20,-2,-3,1
3/9/2012 1:27,69,0.682076417,18,-2,-5,1
3/9/2012 1:28,69,0.643767414,18,-2,-6,1
3/9/2012 1:29,69,0.605458411,19,-3,-6,1
3/9/2012 1:30,69,0.567149408,18,-3,-8,1
3/9/2012 1:31,69,0.528840405,19,-3,-8,1
3/9/2012 1:32,69,0.490531401,20,-2,-8,1
3/9/2012 1:33,69,0.459297371,20,-3,-7,1
3/9/2012 1:34,69,0.428063341,20,-3,-7,1
3/9/2012 1:35,69,0.396829311,21,-2,-6,1
3/9/2012 1:36,69,0.36559528,20,-3,-6,1
3/9/2012 1:37,69,0.33436125,19,-3,-8,1
3/9/2012 1:38,69,0.321347294,19,-3,-8,1
3/9/2012 1:39,69,0.308333338,19,-3,-8,1
3/9/2012 1:40,69,0.295319382,19,-3,-8,1
3/9/2012 1:41,69,0.282305426,19,-4,-8,1
3/9/2012 1:42,69,0.26929147,19,-4,-8,1
3/9/2012 1:43,69,0.248985882,18,-4,-7,1
3/9/2012 1:44,69,0.228680294,19,-4,-6,1
3/9/2012 1:45,69,0.208374705,20,-3,-6,1
3/9/2012 1:46,69,0.188069117,19,-3,-8,1
3/9/2012 1:47,69,0.167763529,16,-4,-7,1
3/9/2012 1:48,69,0.149737092,19,-4,-8,1
3/9/2012 1:49,69,0.131710655,18,-3,-7,1
3/9/2012 1:50,69,0.113684218,18,-4,-6,1
3/9/2012 1:51,69,0.09565778,21,-3,-5,1
3/9/2012 1:52,69,0.077631343,23,-3,-6,1
3/9/2012 1:53,69,0.054046984,22,-3,-6,1
3/9/2012 1:54,69,0.030462625,21,-4,-5,1
3/9/2012 1:55,69,0.006878266,20,-4,-6,1
3/9/2012 1:56,69,-0.016706093,20,-4,-7,1
3/9/2012 1:57,69,-0.040290452,18,-4,-7,1
3/9/2012 1:58,69,-0.057804288,18,-5,-6,1
