DateTime,DOY,D_TEC,ASY_H,SYM_D,SYM_H,Location
08/24/2005 00:00:00,236,0,8,2,12,1
08/24/2005 00:01:00,236,0,9,2,11,1
08/24/2005 00:02:00,236,0,8,2,12,1
08/24/2005 00:03:00,236,0,9,2,11,1
08/24/2005 00:04:00,236,0,9,2,11,1
08/24/2005 00:05:00,236,0,9,2,11,1
08/24/2005 00:06:00,236,0,9,2,11,1
08/24/2005 00:07:00,236,0,8,2,11,1
08/24/2005 00:08:00,236,0,8,2,11,1
08/24/2005 00:09:00,236,0,8,2,12,1
08/24/2005 00:10:00,236,0,8,2,11,1
08/24/2005 00:11:00,236,0,8,2,12,1
08/24/2005 00:12:00,236,0,8,1,12,1
08/24/2005 00:13:00,236,0,10,1,12,1
08/24/2005 00:14:00,236,0,9,1,13,1
08/24/2005 00:15:00,236,0,10,1,13,1
08/24/2005 00:16:00,236,0,10,2,13,1
08/24/2005 00:17:00,236,0,11,2,13,1
08/24/2005 00:18:00,236,0,10,2,14,1
08/24/2005 00:19:00,236,0,12,2,13,1
08/24/2005 00:20:00,236,0,13,1,13,1
08/24/2005 00:21:00,236,0,13,1,13,1
08/24/2005 00:22:00,236,0,15,1,13,1
08/24/2005 00:23:00,236,0,18,0,12,1
08/24/2005 00:24:00,236,0,18,0,12,1
08/24/2005 00:25:00,236,0,19,0,12,1
08/24/2005 00:26:00,236,0,20,0,12,1
08/24/2005 00:27:00,236,0,20,-1,12,1
08/24/2005 00:28:00,236,0,22,-1,11,1
08/24/2005 00:29:00,236,0,23,-1,11,1
08/24/2005 00:30:00,236,0,24,-1,10,1
08/24/2005 00:31:00,236,0,24,-1,10,1
08/24/2005 00:32:00,236,0,26,-1,9,1
08/24/2005 00:33:00,236,0,26,-2,9,1
08/24/2005 00:34:00,236,0,27,-1,9,1
08/24/2005 00:35:00,236,0,28,-1,9,1
08/24/2005 00:36:00,236,0,29,-1,9,1
08/24/2005 00:37:00,236,0,31,-2,9,1
08/24/2005 00:38:00,236,0,32,-2,9,1
08/24/2005 00:39:00,236,0,32,-2,9,1
08/24/2005 00:40:00,236,0,32,-2,9,1
08/24/2005 00:41:00,236,0,32,-2,8,1
08/24/2005 00:42:00,236,0,34,-2,8,1
08/24/2005 00:43:00,236,0,35,-2,7,1
08/24/2005 00:44:00,236,0,35,-2,6,1
08/24/2005 00:45:00,236,0,35,-2,6,1
08/24/2005 00:46:00,236,0,35,-2,6,1
08/24/2005 00:47:00,236,0,36,-3,5,1
08/24/2005 00:48:00,236,0,36,-3,5,1
08/24/2005 00:49:00,236,0,37,-3,6,1
08/24/2005 00:50:00,236,0,37,-3,6,1
08/24/2005 00:51:00,236,0,38,-3,7,1
08/24/2005 00:52:00,236,0,38,-3,6,1
08/24/2005 00:53:00,236,0,39,-3,6,1
08/24/2005 00:54:00,236,0,39,-2,6,1
08/24/2005 00:55:00,236,0,39,-3,6,1
08/24/2005 00:56:00,236,0,39,-2,6,1
08/24/2005 00:57:00,236,0,38,-2,6,1
08/24/2005 00:58:00,236,0,38,-2,6,1
08/24/2005 00:59:00,236,0,36,-2,6,1
08/24/2005 01:00:00,236,0,36,-2,6,1
08/24/2005 01:01:00,236,0,35,-2,6,1
08/24/2005 01:02:00,236,0,35,-2,6,1
08/24/2005 01:03:00,236,0,35,-2,6,1
08/24/2005 01:04:00,236,0,34,-2,6,1
08/24/2005 01:05:00,236,0,33,-2,6,1
08/24/2005 01:06:00,236,0,32,-2,7,1
08/24/2005 01:07:00,236,0,31,-1,7,1
08/24/2005 01:08:00,236,0,31,-2,8,1
08/24/2005 01:09:00,236,0,31,-2,8,1
08/24/2005 01:10:00,236,0,31,-2,8,1
08/24/2005 01:11:00,236,0,32,-2,8,1
08/24/2005 01:12:00,236,0,31,-2,8,1
08/24/2005 01:13:00,236,0,31,-2,8,1
08/24/2005 01:14:00,236,0,31,-2,8,1
08/24/2005 01:15:00,236,0,32,-2,8,1
08/24/2005 01:16:00,236,0,30,-2,9,1
08/24/2005 01:17:00,236,0,29,-2,9,1
08/24/2005 01:18:00,236,0,28,-2,9,1
08/24/2005 01:19:00,236,0,27,-2,10,1
08/24/2005 01:20:00,236,0,27,-2,10,1
08/24/2005 01:21:00,236,0,26,-2,11,1
08/24/2005 01:22:00,236,0,27,-2,11,1
08/24/2005 01:23:00,236,0,26,-2,12,1
08/24/2005 01:24:00,236,0,25,-2,12,1
08/24/2005 01:25:00,236,0,25,-2,12,1
08/24/2005 01:26:00,236,0,24,-2,12,1
08/24/2005 01:27:00,236,0,24,-1,12,1
08/24/2005 01:28:00,236,0,24,-2,11,1
08/24/2005 01:29:00,236,0,25,-2,12,1
08/24/2005 01:30:00,236,0,24,-1,12,1
08/24/2005 01:31:00,236,0,24,-1,12,1
08/24/2005 01:32:00,236,0,23,-1,13,1
08/24/2005 01:33:00,236,0,21,-1,13,1
08/24/2005 01:34:00,236,0,22,-1,13,1
08/24/2005 01:35:00,236,0,22,-1,13,1
08/24/2005 01:36:00,236,0,21,-1,14,1
08/24/2005 01:37:00,236,0,20,-1,14,1
08/24/2005 01:38:00,236,0,20,-1,15,1
08/24/2005 01:39:00,236,0,19,-1,15,1
08/24/2005 01:40:00,236,0,19,0,15,1
08/24/2005 01:41:00,236,0,18,0,15,1
