DateTime,DOY,D_TEC,ASY_H,SYM_D,SYM_H,Location
03/17/2015 00:00:00,76,0,20,3,15,1
03/17/2015 00:01:00,76,0,20,3,15,1
03/17/2015 00:02:00,76,0,19,3,15,1
03/17/2015 00:03:00,76,0,20,3,14,1
03/17/2015 00:04:00,76,0,20,3,14,1
03/17/2015 00:05:00,76,0,20,3,14,1
03/17/2015 00:06:00,76,0,20,3,14,1
03/17/2015 00:07:00,76,0,19,3,15,1
03/17/2015 00:08:00,76,0,19,3,15,1
03/17/2015 00:09:00,76,0,19,3,16,1
03/17/2015 00:10:00,76,0,18,3,18,1
03/17/2015 00:11:00,76,0,17,3,18,1
03/17/2015 00:12:00,76,0,17,3,18,1
03/17/2015 00:13:00,76,0,17,3,17,1
03/17/2015 00:14:00,76,0,17,3,17,1
03/17/2015 00:15:00,76,0,17,3,17,1
03/17/2015 00:16:00,76,0,18,3,17,1
03/17/2015 00:17:00,76,0,19,3,16,1
03/17/2015 00:18:00,76,0,18,3,15,1
03/17/2015 00:19:00,76,0,19,3,15,1
03/17/2015 00:20:00,76,0,18,3,15,1
03/17/2015 00:21:00,76,0,19,2,14,1
03/17/2015 00:22:00,76,0,19,2,15,1
03/17/2015 00:23:00,76,0,18,3,15,1
03/17/2015 00:24:00,76,0,18,3,15,1
03/17/2015 00:25:00,76,0,17,2,15,1
03/17/2015 00:26:00,76,0,18,2,15,1
03/17/2015 00:27:00,76,0,17,2,15,1
03/17/2015 00:28:00,76,0,17,2,15,1
03/17/2015 00:29:00,76,0,17,2,15,1
03/17/2015 00:30:00,76,0,17,2,16,1
03/17/2015 00:31:00,76,0,17,2,16,1
03/17/2015 00:32:00,76,0,17,2,16,1
03/17/2015 00:33:00,76,0,16,3,17,1
03/17/2015 00:34:00,76,0,16,3,16,1
03/17/2015 00:35:00,76,0,17,3,16,1
03/17/2015 00:36:00,76,0,18,2,15,1
03/17/2015 00:37:00,76,0,17,2,14,1
03/17/2015 00:38:00,76,0,17,2,14,1
03/17/2015 00:39:00,76,0,17,2,13,1
03/17/2015 00:40:00,76,0,17,2,13,1
03/17/2015 00:41:00,76,0,17,2,13,1
03/17/2015 00:42:00,76,0,16,2,12,1
03/17/2015 00:43:00,76,0,16,2,12,1
03/17/2015 00:44:00,76,0,16,2,11,1
03/17/2015 00:45:00,76,0,16,2,12,1
03/17/2015 00:46:00,76,0,16,2,11,1
03/17/2015 00:47:00,76,0,17,2,11,1
03/17/2015 00:48:00,76,0,16,3,11,1
03/17/2015 00:49:00,76,0,16,2,11,1
03/17/2015 00:50:00,76,0,16,2,12,1
03/17/2015 00:51:00,76,0,15,3,11,1
03/17/2015 00:52:00,76,0,15,3,11,1
03/17/2015 00:53:00,76,0,16,3,11,1
03/17/2015 00:54:00,76,0,15,3,11,1
03/17/2015 00:55:00,76,0,15,3,11,1
03/17/2015 00:56:00,76,0,15,3,12,1
03/17/2015 00:57:00,76,0,15,3,11,1
03/17/2015 00:58:00,76,0,15,3,12,1
03/17/2015 00:59:00,76,0,15,3,12,1
03/17/2015 01:00:00,76,0,15,3,12,1
03/17/2015 01:01:00,76,0,15,3,12,1
03/17/2015 01:02:00,76,0,15,3,12,1
03/17/2015 01:03:00,76,0,15,3,12,1
03/17/2015 01:04:00,76,0,15,3,12,1
03/17/2015 01:05:00,76,0,15,3,13,1
03/17/2015 01:06:00,76,0,15,3,13,1
03/17/2015 01:07:00,76,0,15,3,13,1
03/17/2015 01:08:00,76,0,15,3,13,1
03/17/2015 01:09:00,76,0,14,3,13,1
03/17/2015 01:10:00,76,0,14,3,14,1
03/17/2015 01:11:00,76,0,14,3,14,1
03/17/2015 01:12:00,76,0,14,3,14,1
03/17/2015 01:13:00,76,0,13,3,15,1
03/17/2015 01:14:00,76,0,13,3,15,1
03/17/2015 01:15:00,76,0,13,3,15,1
03/17/2015 01:16:00,76,0,15,3,15,1
03/17/2015 01:17:00,76,0,14,3,15,1
03/17/2015 01:18:00,76,0,14,3,15,1
03/17/2015 01:19:00,76,0,13,3,14,1
03/17/2015 01:20:00,76,0,13,3,14,1
03/17/2015 01:21:00,76,0,14,3,14,1
03/17/2015 01:22:00,76,0,14,3,14,1
03/17/2015 01:23:00,76,0,13,3,14,1
03/17/2015 01:24:00,76,0,13,3,14,1
03/17/2015 01:25:00,76,0,13,3,14,1
03/17/2015 01:26:00,76,0,12,3,14,1
03/17/2015 01:27:00,76,0,13,3,13,1
03/17/2015 01:28:00,76,0,13,3,13,1
03/17/2015 01:29:00,76,0,13,3,13,1
03/17/2015 01:30:00,76,0,13,3,13,1
03/17/2015 01:31:00,76,0,13,3,13,1
03/17/2015 01:32:00,76,0,12,3,13,1
03/17/2015 01:33:00,76,0,12,3,13,1
03/17/2015 01:34:00,76,0,13,3,13,1
03/17/2015 01:35:00,76,0,12,3,13,1
03/17/2015 01:36:00,76,0,13,3,13,1
03/17/2015 01:37:00,76,0,12,3,13,1
03/17/2015 01:38:00,76,0,12,3,13,1
03/17/2015 01:39:00,76,0,11,3,13,1
03/17/2015 01:40:00,76,0,11,3,13,1
03/17/2015 01:41:00,76,0,10,3,13,1
03/17/2015 01:42:00,76,0,10,3,13,1
03/17/2015 01:43:00,76,0,10,3,13,1
03/17/2015 01:44:00,76,0,11,3,13,1
03/17/2015 01:45:00,76,0,10,3,13,1
03/17/2015 01:46:00,76,0,10,3,13,1
03/17/2015 01:47:00,76,0,11,3,13,1
03/17/2015 01:48:00,76,0,9,3,13,1
03/17/2015 01:49:00,76,0,9,3,13,1
03/17/2015 01:50:00,76,0,10,3,13,1
03/17/2015 01:51:00,76,0,10,3,13,1
03/17/2015 01:52:00,76,0,11,3,14,1
03/17/2015 01:53:00,76,0,10,3,14,1
03/17/2015 01:54:00,76,0,11,3,15,1
03/17/2015 01:55:00,76,0,11,3,16,1
