DateTime,DOY,D_TEC,ASY_H,SYM_D,SYM_H,Location
04/18/2001 00:00:00,108,0,27,-5,-21,1
04/18/2001 00:01:00,108,0,25,-5,-20,1
04/18/2001 00:02:00,108,0,24,-5,-20,1
04/18/2001 00:03:00,108,0,23,-4,-19,1
04/18/2001 00:04:00,108,0,22,-4,-19,1
04/18/2001 00:05:00,108,0,20,-4,-18,1
04/18/2001 00:06:00,108,0,19,-4,-18,1
04/18/2001 00:07:00,108,0,18,-4,-17,1
04/18/2001 00:08:00,108,0,17,-4,-17,1
04/18/2001 00:09:00,108,0,17,-4,-17,1
04/18/2001 00:10:00,108,0,16,-4,-17,1
04/18/2001 00:11:00,108,0,17,-3,-18,1
04/18/2001 00:12:00,108,0,17,-3,-18,1
04/18/2001 00:13:00,108,0,18,-3,-18,1
04/18/2001 00:14:00,108,0,17,-3,-19,1
04/18/2001 00:15:00,108,0,17,-3,-19,1
04/18/2001 00:16:00,108,0,17,-3,-19,1
04/18/2001 00:17:00,108,0,16,-3,-19,1
04/18/2001 00:18:00,108,0,17,-3,-19,1
04/18/2001 00:19:00,108,0,16,-3,-19,1
04/18/2001 00:20:00,108,0,14,-3,-19,1
04/18/2001 00:21:00,108,0,14,-3,-19,1
04/18/2001 00:22:00,108,0,14,-3,-19,1
04/18/2001 00:23:00,108,0,14,-2,-19,1
04/18/2001 00:24:00,108,0,14,-3,-19,1
04/18/2001 00:25:00,108,0,15,-3,-20,1
04/18/2001 00:26:00,108,0,14,-3,-20,1
04/18/2001 00:27:00,108,0,15,-3,-20,1
04/18/2001 00:28:00,108,0,14,-3,-20,1
04/18/2001 00:29:00,108,0,13,-3,-20,1
04/18/2001 00:30:00,108,0,12,-3,-20,1
04/18/2001 00:31:00,108,0,13,-3,-19,1
04/18/2001 00:32:00,108,0,13,-3,-19,1
04/18/2001 00:33:00,108,0,13,-3,-19,1
04/18/2001 00:34:00,108,0,13,-2,-19,1
04/18/2001 00:35:00,108,0,13,-2,-19,1
04/18/2001 00:36:00,108,0,13,-2,-19,1
04/18/2001 00:37:00,108,0,15,-2,-19,1
04/18/2001 00:38:00,108,0,16,-2,-20,1
04/18/2001 00:39:00,108,0,17,-2,-20,1
04/18/2001 00:40:00,108,0,19,-2,-20,1
04/18/2001 00:41:00,108,0,18,-2,-20,1
04/18/2001 00:42:00,108,0,19,-2,-20,1
04/18/2001 00:43:00,108,0,19,-2,-20,1
04/18/2001 00:44:00,108,0,20,-2,-20,1
04/18/2001 00:45:00,108,0,20,-2,-20,1
04/18/2001 00:46:00,108,0,21,-2,-20,1
04/18/2001 00:47:00,108,0,25,-3,-18,1
04/18/2001 00:48:00,108,0,22,-1,1,1
04/18/2001 00:49:00,108,0,61,5,20,1
04/18/2001 00:50:00,108,0,66,8,22,1
04/18/2001 00:51:00,108,0,57,7,20,1
04/18/2001 00:52:00,108,0,55,6,17,1
04/18/2001 00:53:00,108,0,57,6,15,1
04/18/2001 00:54:00,108,0,56,6,13,1
04/18/2001 00:55:00,108,0,57,6,14,1
04/18/2001 00:56:00,108,0,55,4,14,1
04/18/2001 00:57:00,108,0,54,3,13,1
04/18/2001 00:58:00,108,0,58,4,13,1
04/18/2001 00:59:00,108,0,59,3,13,1
04/18/2001 01:00:00,108,0,61,2,12,1
04/18/2001 01:01:00,108,0,62,2,11,1
04/18/2001 01:02:00,108,0,65,2,10,1
04/18/2001 01:03:00,108,0,67,2,8,1
04/18/2001 01:04:00,108,0,66,3,8,1
04/18/2001 01:05:00,108,0,73,4,9,1
04/18/2001 01:06:00,108,0,80,5,8,1
04/18/2001 01:07:00,108,0,85,7,8,1
04/18/2001 01:08:00,108,0,91,7,8,1
04/18/2001 01:09:00,108,0,96,7,8,1
04/18/2001 01:10:00,108,0,99,8,7,1
04/18/2001 01:11:00,108,0,103,9,7,1
04/18/2001 01:12:00,108,0,106,9,7,1
04/18/2001 01:13:00,108,0,112,10,8,1
04/18/2001 01:14:00,108,0,117,10,8,1
04/18/2001 01:15:00,108,0,123,11,8,1
04/18/2001 01:16:00,108,0,129,12,8,1
04/18/2001 01:17:00,108,0,135,13,6,1
04/18/2001 01:18:00,108,0,136,13,5,1
04/18/2001 01:19:00,108,0,137,13,6,1
04/18/2001 01:20:00,108,0,139,13,5,1
04/18/2001 01:21:00,108,0,135,12,4,1
04/18/2001 01:22:00,108,0,133,12,3,1
04/18/2001 01:23:00,108,0,129,11,2,1
04/18/2001 01:24:00,108,0,128,10,3,1
04/18/2001 01:25:00,108,0,126,10,3,1
04/18/2001 01:26:00,108,0,122,9,3,1
04/18/2001 01:27:00,108,0,120,9,3,1
04/18/2001 01:28:00,108,0,118,9,5,1
04/18/2001 01:29:00,108,0,119,9,7,1
04/18/2001 01:30:00,108,0,118,9,8,1
04/18/2001 01:31:00,108,0,117,9,8,1
04/18/2001 01:32:00,108,0,115,9,5,1
04/18/2001 01:33:00,108,0,113,8,3,1
04/18/2001 01:34:00,108,0,110,7,3,1
04/18/2001 01:35:00,108,0,109,7,3,1
04/18/2001 01:36:00,108,0,108,7,3,1
